slug	name	date	event	opponent	methodRaw	promotion	result	note
kazuki	一輝	2024-10-06	DEEP HAMAMATSU IMPACT 2024	岩永勝亮	3R 判定	RISE	loss	None
kanta-motoyama	基山幹太	2025-04-27	DEEP HAMAMATSU IMPACT 2025 1st ROUND	竹市 一樹	KO 1R	SHOOT BOXING	win	None
hisadome-takuma	久留 拓磨	2026-05-31	DEEP HAMAMATSU IMPACT 2026 1ST ROUND	仁	3R 判定	SHOOT BOXING	win	None
kaneko-tetsuya	金子 徹哉	2026-05-31	DEEP HAMAMATSU IMPACT 2026 1ST ROUND	平田 大地	3R 判定	SHOOT BOXING	loss	None
jin	仁	2026-05-31	DEEP HAMAMATSU IMPACT 2026 1ST ROUND	久留拓磨	3R 判定	RISE	loss	None
seina	聖愛	2019-12-22	DEEP JEWELS 27	くるみ	1R 1分29秒 TKO	Wikipedia(その他団体)	win	None
manaka	MANAKA	2025-09-07	DEEP JEWELS 50	きたりこ	3R 判定	RISE	win	None
yushi	YUSHI	2015-06-07	DEEP NAGOYA IMPACT 2015 公武堂ファイト	下田 大助	3R 判定	SHOOT BOXING	win	None
koki-asano	浅野功暉	2024-08-25	DEEP NAGOYA IMPACT 2024 4th ROUND	河村嘉展	2R 判定	RISE	win	None
yurika-gurapuringushutobokusazu	ユリカ・グラップリングシュートボクサーズ	2026-06-14	DEEP NAGOYA IMPACT 2026 2nd ROUND 公武堂ファイト	パク・ソヨン	TKO 2R	SHOOT BOXING	win	None
akarigsb	朱里	2026-06-14	DEEP NAGOYA IMPACT 2026 2nd ROUND 公武堂ファイト	チェ・ウンジ	TKO 4R	SHOOT BOXING	win	None
doi-ryoga	土井 涼雅	2019-05-26	DEEP NAGOYA IMPACT 公武堂ファイト	田中 秀汰	3R 判定	SHOOT BOXING	win	デビュー戦
nagashima-jienotsu-yuuichirou	長島☆自演乙☆雄一郎	2008-12-22	DEEP PROTECT IMPACT 2008	サクシー・ケイ・リバー	2R 0:39 TKO（ドクターストップ：鼻負傷）	Wikipedia(その他団体)	win	None
possiblek	ポッシブルK	2017-03-26	DEEP SAITAMA IMPACT in 小江戸・川越2017	助川 秀之	3R 判定	SHOOT BOXING	loss	None
shota-tezuka	手塚翔太	2018-03-04	DEEP SAITAMA IMPACT in小江戸・川越2018	杉山 茅尋	3R 判定	SHOOT BOXING	win	デビュー戦
possiblek	ポッシブルK	2018-03-04	DEEP SAITAMA IMPACT in小江戸・川越2018	スワノーイ・エイワスポーツ	3R 判定	SHOOT BOXING	win	None
gono-akihiro	郷野 聡寛	2012-07-21	DEEP TOKYO IMPACT 2012　SBルール	“KID HMC” SAGE	3R終了　判定3-0	Wikipedia(その他団体)	win	None
taisei-nishitani	西谷大成	2022-05-29	DEEP TOKYO IMPACT 2022 4th ROUND	星野 豊	2R 判定	RISE	loss	None
taisei-nishitani	西谷大成	2022-09-11	DEEP TOKYO IMPACT 2022 5th ROUND	TATSUMI	2R 判定	RISE	win	None
saito-yuto	斎藤 祐斗	2023-10-01	For Japan presents RIZIN LANDMARK 6 in NAGOYA	梅野源治	3R 判定（2-0）	RIZIN	loss	None
umeno-genji	梅野源治	2023-10-01	For Japan presents RIZIN LANDMARK 6 in NAGOYA	斎藤祐斗	3R 判定（2-0）	RIZIN	win	None
takiya-shouta	瀧谷渉太	2019-08-18	GOOD SPEED presents RIZIN.18	大﨑一貴	3R 判定（0-3）	RIZIN	loss	None
jon-uein-pa	ジョン・ウェイン・パー	2019-08-18	GOOD SPEED presents RIZIN.18	ダニロ・ザノリニ	3R 判定（1-2）	RIZIN	loss	None
horio-ryuji	堀尾 竜司	2019-08-18	GOOD SPEED presents RIZIN.18	桜井宇宙	3R 判定（3-0）	RIZIN	win	None
daniro-zanorini	ダニロ・ザノリニ	2019-08-18	GOOD SPEED presents RIZIN.18	ジョン・ウェイン・パー	3R 判定（1-2）	RIZIN	win	None
arubato-kurausu	アルバート・クラウス	2022-12-28	INOKI BOM-BA-YE × 巌流島 in 両国	宇佐美秀メイソン	3R終了 判定0-3	Wikipedia(その他団体)	loss	None
usami-hide-meison	宇佐美 秀 メイソン	2022-12-28	INOKI BOM-BA-YE×巌流島 in 両国	アルバート・クラウス	3R 判定	RISE	win	None
