slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
unconfirmed-shooto-1849,沙門,沙門,true,0,0,0,0,2,0,-2,,「総合格闘技」節が見つからず(en版由来の可能性)
henry,HENRY,HENRY,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
young-kim,キム ジェヨン,キムジェヨン,false,0,0,0,0,2,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
aono-hikaru,青野 ひかる,青野ひかる,true,1,22,0,22,22,0,0,,
noa-tokumoto,徳本 望愛,徳本望愛,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
nakamura-miku,中村 未来,中村未来,true,0,0,0,0,15,0,-15,,「総合格闘技」節が見つからず(en版由来の可能性)
sugimoto-megumi,杉本 恵,杉本恵,false,0,0,0,0,20,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
hirata-ayane,平田 彩音,平田彩音,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
young-parkseo,パク ソヨン,パクソヨン,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
huang-jenny,ジェニー ファン,ジェニーファン,false,0,0,0,0,2,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
mio-shiyama,嶋屋 澪,嶋屋澪,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
watanabe-ayaka,渡辺 彩華,渡辺彩華,true,0,0,0,7,7,-7,0,,「総合格闘技」節が見つからず(en版由来の可能性)
takamoto-chiyo,高本 千代,高本千代,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
erika,erika,erika,true,0,0,0,0,4,0,-4,,「総合格闘技」節が見つからず(en版由来の可能性)
aya-murakami,村上 彩,村上彩,true,1,14,0,14,14,0,0,,
katayama-tomoe,片山 智絵,片山智絵,false,0,0,0,0,4,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
kurobe-mina,黒部 三奈,黒部三奈,true,1,25,0,25,25,0,0,,
sarami,SARAMI,SARAMI,true,1,35,0,34,34,1,0,marker-blank-future:1,
fujino-emi,藤野 恵実,藤野恵実,true,1,49,0,49,49,0,0,,
hoshuyama-momoka,宝珠山 桃花,宝珠山桃花,false,0,0,0,0,15,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
park-bohyun,パク ボヒョン,パクボヒョン,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
hailaiwusamo,ハイライ ウーシャアモー,ハイライウーシャアモー,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
salt,ソルト,ソルト (格闘家),true,1,11,0,11,11,0,0,,
karen,KAREN,KAREN (格闘家),true,1,13,0,13,13,0,0,,
takada-atsuhi,高田 暖妃,高田暖妃,false,0,0,0,0,4,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
satoshogo,佐藤生虎,佐藤生虎,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
taira,平信一,平信一,false,0,0,0,0,14,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
zhangyuta,張豊,張豊,true,0,0,0,0,3,0,-3,,「総合格闘技」節が見つからず(en版由来の可能性)
suzukiyuto,鈴木悠斗,鈴木悠斗,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tou-hoiin,透暉鷹,透暉鷹,false,0,0,0,0,10,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
okadatakuma,岡田拓真,岡田拓真,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
