org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
shooto,女子ストロー級,女子ストロー級,,3,ハイライ ウーシャアモー,ハイライウーシャアモー,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,4,ソルト,ソルト,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,5,KAREN,KAREN,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,6,高田 暖妃,高田暖妃,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
deep,ストロー級,ストロー級,,C,知名昴海,知名昴海,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,フライ級,フライ級,,C,村元友太郎,村元友太郎,https://www.deep2001.com/champ/,2026-07-25,muramoto-yutaro,listed,exact
deep,バンタム級,バンタム級,,C,福田龍彌,福田龍彌,https://www.deep2001.com/champ/,2026-07-25,fukuda-ryuya,listed,exact
deep,フェザー級,フェザー級,,C,青井人,青井人,https://www.deep2001.com/champ/,2026-07-25,aoi-jin,listed,exact
deep,ライト級,ライト級,,C,野村駿太,野村駿太,https://www.deep2001.com/champ/,2026-07-25,nomura-shunta,listed,exact
deep,ウェルター級,ウェルター級,,C,嶋田伊吹,嶋田伊吹,https://www.deep2001.com/champ/,2026-07-25,shimada-ibuki,listed,exact
deep,ヘビー級,ヘビー級,,C,大成,大成,https://www.deep2001.com/champ/,2026-07-25,nishitani-taisei,hidden,exact
deep,女子アトム級,女子アトム級,,C,伊澤星花,伊澤星花,https://www.deep2001.com/champ/,2026-07-25,izawa-seika,listed,exact
deep,女子ストロー級,女子ストロー級,,C,万智,万智,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,女子フライ級,女子フライ級,,C,中井りん,中井りん,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,女子バンタム級,女子バンタム級,,C,百湖,百湖,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,女子フェザー級,女子フェザー級,,C,東ようこ,東ようこ,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,女子無差別級,,weightClasses.tsのWEIGHT_KGに存在しない階級ラベル,C,アマンダ・ルーカス,アマンダ・ルーカス,https://www.deep2001.com/champ/,2026-07-25,,missing,none
deep,女子ミクロ級,,weightClasses.tsのWEIGHT_KGに存在しない階級ラベル,C,大島沙緒里,大島沙緒里,https://www.deep2001.com/champ/,2026-07-25,oshima-saori,listed,exact
