# RIZINタグでLANDMARKを含まない大会名の全125件

kubo-yuuta	久保優太	2025-12-31	RIZIN 師走の超強者祭り	カルシャガ・ダウトベック	ノーコンテスト（偶発的なサミング）
kubo-yuuta	久保優太	2024-07-28	超RIZIN.3	斎藤裕	2R 4:19 KO（三日月蹴り）
kubo-yuuta	久保優太	2023-06-24	RIZIN.43	木下カラテ	5分3R終了 判定2-1
kubo-yuuta	久保優太	2021-09-19	RIZIN.30	太田忍	5分3R終了 判定0-3
kuriaki-shogo	栗秋 祥梧	2022-10-23	湘南美容クリニック presents RIZIN.39	翔	2R 1分42秒 TKO（レフェリーストップ）
kouji	皇治	2024-07-28	超RIZIN.3	芦澤竜誠	5分3R終了 判定0-3
kouji	皇治	2023-12-31	RIZIN.45	三浦孝太	2R 0:59 TKO（サッカーボールキック）
kouji	皇治	2023-04-01	RIZIN.41	芦澤竜誠	3R 判定 （1-2）
kouji	皇治	2022-03-20	湘南美容クリニック presents RIZIN.34	梅野源治	3R 判定 （2-0）
kouji	皇治	2021-12-31	Yogibo presents RIZIN.33	YA-MAN	3R 判定 （0-2）
kouji	皇治	2021-11-20	Yogibo presents RIZIN.32	祖根寿麻	3R 判定 （3-0）
kouji	皇治	2021-06-27	Yogibo presents RIZIN.29	白鳥大珠	3R 判定 （0-3）
kouji	皇治	2021-06-27	Yogibo presents RIZIN.29	梅野源治	1R 0分43秒 ノーコンテスト（偶発性のバッティングにより梅野が負傷）
kouji	皇治	2020-09-27	Yogibo presents RIZIN.24	那須川天心	3R 判定 （3-0）
konishi-takuma	小西 拓槙	2019-10-12	RIZIN.19	HIROYA	1R 1分20秒 TKO（レフェリーストップ）
konishi-takuma	小西 拓槙	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	内田雄大	3R 判定 3-0
saiga-kizaemon	才賀紀左衛門	2017-07-30	RIZIN FIGHTING WORLD GRAND-PRIX 2017 1st ROUND -夏の陣-	那須川天心	1R 1:36 KO (左ストレート)
saiga-kizaemon	才賀紀左衛門	2017-04-16	RIZIN 2017 in YOKOHAMA -SAKURA-	伊藤盛一郎	2R（10分/5分）終了 判定0-3
saiga-kizaemon	才賀紀左衛門	2016-09-25	RIZIN FIGHTING WORLD GRAND-PRIX 2016 無差別級トーナメント 開幕戦	山本アーセン	2R（10分/5分）終了 判定1-2
saiga-kizaemon	才賀紀左衛門	2015-12-29	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	所英男	1R 5:16 アームバー
sano-isami	佐野 勇海	2020-11-21	Yogibo presents RIZIN.25	江畑秀範	3R 判定 （0-3）
jieromu-re-banna	ジェロム・レ・バンナ	2017-10-15	RIZIN FIGHTING WORLD GRAND-PRIX 2017 1st ROUND -秋の陣-	ロッキー・マルティネス	1R 2:10 袈裟固め
jitsukata-kosuke	実方 宏介	2020-02-22	RIZIN.21	酒井リョウ	1R 1分28秒 KO（右フック）
shinotsuka-tatsuki	篠塚 辰樹	2024-12-31	RIZIN DECADE 雷神番外地	野田蒼	1R 2分07秒 TKO（スリーノックダウン）
shinotsuka-tatsuki	篠塚 辰樹	2023-12-31	にゃんこ大戦争 presents RIZIN.45	冨澤大智	3R 判定（3-0）
jon-uein-pa	ジョン・ウェイン・パー	2019-08-18	GOOD SPEED presents RIZIN.18	ダニロ・ザノリニ	3R 判定（1-2）
taiga	大雅	2019-07-28	RIZIN.17	町田光	3R 判定（3-0）
