name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
モハメド・ミカイリ・ガザリ,モハメド・ミカイリ・ガザリ,,published_kana,Rentap Muay Thai,RISE,https://rise-rc.com/fighter/muhammed-mikail-ghazali/
モハン・ドラゴン,モハン・ドラゴン,,published_kana,,,https://ja.wikipedia.org/wiki/モハン・ドラゴン|https://www.k-1.co.jp/fighter/715
紅絹,モミ,Momi,published_kana,NEXT LEVEL渋谷,RISE,https://rise-rc.com/fighter/momi/|https://ja.wikipedia.org/wiki/紅絹_(キックボクサー)|https://www.k-1.co.jp/fighter/693
MOMOKA,モモカ,,published_kana,K-1ジム三軒茶屋シルバーウルフ,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1670
桃花シンデレラ,モモカ シンデレラ,Momoka Cinderella,published_kana,山口道場,RISE,https://rise-rc.com/fighter/momoka-cinderella/|https://ja.wikipedia.org/wiki/桃花シンデレラ
百瀬竜徳,モモセ タツノリ,,published_kana,,,https://ja.wikipedia.org/wiki/百瀬竜徳
森井 洋介,モリイ ヨウスケ,Morii Yosuke,published_kana,,K-1,https://www.k-1.co.jp/fighter/594
森川 絆,モリカワ キズナ,Morikawa Kizuna,published_kana,POWER OF DREAM,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1572
森川 修平,モリカワ シュウヘイ,Morikawa Shuhei,published_kana,,K-1,https://www.k-1.co.jp/fighter/519
森川 侑凜,モリカワ ユウリ,Morikawa Yuri,published_kana,GRES 8Mile GYM,K-1 WORLD GP|Krush|Krush-EX|KNOCK OUT,https://www.k-1.co.jp/fighter/1021|https://knockoutkb.com/fighters/morikawa_yuri_359
森木 一吉,モリキ カズヨシ,Kazuyoshi,published_kana,K-Fit-Lab,K-1,https://www.k-1.co.jp/fighter/1097
森坂 陸,モリサカ リク,Morisaka Riku,published_kana,エスジム,K-1,https://www.k-1.co.jp/fighter/767
森重 真,モリシゲ マコト,Morishige Makoto,published_kana,KFG URAWA,K-1,https://www.k-1.co.jp/fighter/258
